id;lat;lon;title;link;description_short;image
15;51.0536762;3.723222;Metselaarshuis – Logeren in verkrotte kamers;http://www.blijvenplakkeningent.be/nl/blikvangers/metselaarshuis-logeren-in-verkrotte-kamers;Het 16de-eeuwse Gildehuis van de Metselaars, waarvan een exacte kopie op de Graslei staat...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/21._metselaarshuis.jpg?itok=FOJQ_4Jm
16;51.0660819;3.7217272;Integratiedienst – Het bureau van Maurice;http://www.blijvenplakkeningent.be/nl/blikvangers/integratiedienst-het-bureau-van-maurice;In Gent, net als elders in Vlaanderen, duurde het lang voor de stedelijke overheid een...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/20._integratiedienst_-_foto.jpg?itok=qGMMXzh3 
17;51.0591977;3.7222884;Huis van de Arbeid – Van gast tot vreemdeling;http://www.blijvenplakkeningent.be/nl/blikvangers/huis-van-de-arbeid-van-gast-tot-vreemdeling;In de 19de en het begin van de 20ste eeuw hoefden buitenlanders die in België kwamen...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/19._huis_van_de_arbeid_-_foto.jpg?itok=JWNo_dH5
18;51.0546298;3.7141802;Hogar Español – Grenzeloze ontmoetingen in het Spaans Huis;http://www.blijvenplakkeningent.be/nl/blikvangers/hogar-espanol-grenzeloze-ontmoetingen-in-het-spaans-huis;In de jaren 60 kwamen de meeste Spaanse migranten naar Gent om als dienstbode te werken...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/18._hogar_espanol_-_foto.jpg?itok=nd9Ui7Cy 
19;51.0579201;3.7423118;Gilbert – De Turkse kapper;http://www.blijvenplakkeningent.be/nl/blikvangers/gilbert-de-turkse-kapper;Hier woonde en werkte Gilbert Lamont, buurman met een hart, integratiewerker avant la...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/17._gilbert_-_foto.jpg?itok=hCDi1oxJ
20;51.0627112;3.7036405;El Ele – Vrouwen maken de brug;http://www.blijvenplakkeningent.be/nl/blikvangers/el-ele-vrouwen-maken-de-brug;De eerste werking voor migrantenvrouwen in Gent ontstond aan het einde van de jaren 70 in...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/16._el_ele_-_foto_-_katrien_de_smet.jpg?itok=whPAjN9b
21;51.0590032;3.7155364;Eerste moskee – Moslims in het missiekot;http://www.blijvenplakkeningent.be/nl/blikvangers/eerste-moskee-moslims-in-het-missiekot;In de jaren 70 doken in verschillende Belgische steden de eerste moskeeën op. In Gent...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/15._eerste_moskee_-_foto_-_paul_van_wouwe_034.jpg?itok=IbQq2xe7
22;51.0699152;3.7390622;De Vikings – Van barakken tot torenhoge blokken;http://www.blijvenplakkeningent.be/nl/blikvangers/de-vikings-van-barakken-tot-torenhoge-blokken;De ‘Vikingblokken’ danken hun bijnaam aan de houten hutten die er van de jaren 20 tot de...;
23;51.0678307;3.7290914;De Sleep – Hippiedokter voor een betere wereld;http://www.blijvenplakkeningent.be/nl/blikvangers/de-sleep-hippiedokter-voor-een-betere-wereld;De Sleep werd in 1976 opgericht als een van de eerste wijkgezondheidscentra van het land...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/13._de_sleep_-_foto_lieve_colruyt.jpg?itok=a8euaNBy 
24;51.061249;3.734386;De Centrale – Weg van Modriča;http://www.blijvenplakkeningent.be/nl/blikvangers/de-centrale-weg-van-modrica;In 1991 begon de Socialistische Federale Republiek Joegoslavië uiteen te vallen. De...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/12_de_centrale_foto_sanela_salkic.jpg?itok=EkFUnUac
25;51.0607661;3.7105248;Café Kosa – Doorsluishuis voor gelukzoekers;http://www.blijvenplakkeningent.be/nl/blikvangers/cafe-kosa-doorsluishuis-voor-gelukzoekers;Café Kosa was een van de vele Turkse cafés die in de jaren 70 in Gent werden opgericht...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/10._cafe_kosa_-_foto_-_lieve_colruyt_019.jpg?itok=5nEQqqRW 
26;51.0547096;3.7217823;Café Damberd – Vluchtelingen aan de toog;http://www.blijvenplakkeningent.be/nl/blikvangers/cafe-damberd-vluchtelingen-aan-de-toog;Als een van de oudste cafés van Gent heeft Café Damberd heel wat nieuwkomers zien komen...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/09_cafe_damberd_foto_paul_feyaerts.jpg?itok=DySWv-cV 
27;51.0598907;3.7249838;Boğaziçi – Het eerste Turkse restaurant;http://www.blijvenplakkeningent.be/nl/blikvangers/bogazici-het-eerste-turkse-restaurant;In 1974 opende hier het eerste Turkse restaurant van Gent. ‘Boğaziçi’ (De Bosporus)...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/08._bogazici_-_foto.jpg?itok=81jh2YY4 
28;51.0527795;3.7089586;Boerenkot – Blijven plakken aan de Coupure;http://www.blijvenplakkeningent.be/nl/blikvangers/boerenkot-blijven-plakken-aan-de-coupure;Sinds haar oprichting in 1817 is de Gentse universiteit een trekpleister geweest voor...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/07._boerenkot_-_foto_.jpg?itok=x1BFEiRx 
29;51.0523475;3.7218797;Bloch – Bakker tegen racisme;http://www.blijvenplakkeningent.be/nl/blikvangers/bloch-bakker-tegen-racisme;Het bakken zit de familie Bloch in het bloed. In de Veldstraat arriveerde de eerste telg...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/06._bloch_-_historische_foto.jpg?itok=alhiZZxu 
30;51.0562813;3.7271842;Bij Sint-Jacobs – Dag van de Gastarbeider;http://www.blijvenplakkeningent.be/nl/blikvangers/bij-sint-jacobs-dag-van-de-gastarbeider;Tijdens de Gentse Feesten van 1971, twee jaar nadat Walter De Buck de jaarlijkse...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/05._bij_sint-jacobs_-_foto_-_stadsarchief.jpg?itok=tNI4UqTZ 
31;51.05704;3.7320381;Berbat – Courgettes en cassettes;http://www.blijvenplakkeningent.be/nl/blikvangers/berbat-courgettes-en-cassettes;Berbat is de oudste nog bestaande Turkse handelszaak in Gent. De zaak opende al in 1975...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/04._berbat_-_foto_-_sunbul_karakaya.jpg?itok=upZp22V6
32;51.0743769;3.7343076;Café Viking – Een tweede thuis voor buitenlandse zeelieden;http://www.blijvenplakkeningent.be/nl/blikvangers/cafe-viking-een-tweede-thuis-voor-buitenlandse-zeelieden;In 1965 begon Lisbeth Waldack op de Port Arthurlaan een café dat ze Viking noemde. Met...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/foto_2.jpg?itok=ne-mtHrp 
33;51.0480196;3.730436;Al Parma-Da Gianni – Pizza aan de Zuid;http://www.blijvenplakkeningent.be/nl/blikvangers/al-parma-da-gianni-pizza-aan-de-zuid;Al Parma-Da Gianni was een pionier onder de Italiaanse restaurants in Gent. Hoewel het...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/01._al_parma_-_foto_-_antonio_salerno_-_gecomprimeerd.jpg?itok=dY04Kpo7
34;51.0593065;3.7351492;Beluik Zondernaam - Verborgen wonen onder de schoorsteen;http://www.blijvenplakkeningent.be/nl/blikvangers/beluik-zondernaam-verborgen-wonen-onder-de-schoorsteen;Hier, op de plek waar nu het Zondernaampark is, lag in de jaren 60 nog een verwaarloosd...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/03._beluik_zondernaam_-_foto_-_marcus_haenebalcke28_0.jpg?itok=Lt3wPnvf
35;51.0691475;3.7296094;Au Malaga – Interimkantoor voor Spaanse dienstmeisjes;http://www.blijvenplakkeningent.be/nl/blikvangers/au-malaga-interimkantoor-voor-spaanse-dienstmeisjes;‘Het centrum van de Spanjaarden’, zo noemden de Spaanse immigranten in de jaren 60 dit...;http://www.blijvenplakkeningent.be/sites/default/files/styles/rect_detail_page_600x400/public/02._au_malaga_-_foto_-_georges_billault.png?itok=yzm5aEQt
